pedido_id,fecha,zona,tipo_servicio,distancia_km,peso_kg,tiempo_entrega_min,costo_envio,calificacion_cliente
120,2026-06-24,Periferia,Estándar,4.9,3.27,44.5,6135.0,2.0
121,2026-06-26,Industrial,Express,2.84,3.74,17.4,9566.0,5.0
122,2026-06-25,Centro,Estándar,10.26,0.54,50.5,9196.0,3.0
123,2026-06-28,Comercial,Express,5.65,3.53,38.1,9946.0,3.0
124,2026-06-28,Centro,Estándar,4.23,0.31,43.9,4322.0,4.0
125,2026-06-28,Centro,Estándar,5.24,4.11,42.3,6653.0,5.0
126,2026-06-13,Residencial,Express,9.8,2.94,63.7,13943.0,2.0
127,2026-06-09,Periferia,Express,5.06,2.99,34.6,11241.0,4.0
128,2026-06-29,Residencial,Express,4.82,3.33,52.0,10308.0,3.0
129,2026-06-15,Centro,Estándar,19.32,1.65,58.6,15570.0,3.0
130,2026-06-13,Centro,Estándar,3.21,5.59,49.3,5701.0,3.0
131,2026-06-01,Comercial,Estándar,4.4,2.92,35.8,7168.0,4.0
132,2026-06-25,Comercial,Estándar,2.22,5.04,45.2,5157.0,2.0
133,2026-06-07,Periferia,Estándar,9.09,2.86,68.5,9879.0,2.0
134,2026-06-09,Centro,Express,5.04,2.13,40.0,9301.0,3.0
135,2026-06-24,Industrial,Express,10.83,0.92,44.9,13755.0,3.0
136,2026-06-01,Centro,Estándar,7.46,1.09,43.4,7585.0,4.0
137,2026-06-12,Comercial,Estándar,2.29,3.66,39.3,6009.0,4.0
138,2026-06-08,Centro,Estándar,3.44,3.77,39.8,6372.0,3.0
139,2026-06-24,Comercial,Estándar,2.11,3.71,43.2,5197.0,3.0
140,2026-06-11,Periferia,Estándar,3.02,4.91,21.5,6276.0,5.0
141,2026-06-19,Industrial,Estándar,1.25,3.48,20.5,5101.0,4.0
142,2026-06-17,Comercial,Express,4.87,2.45,46.9,8881.0,4.0
143,2026-06-08,Centro,Estándar,6.22,5.08,45.1,8068.0,3.0
144,2026-06-03,Comercial,Estándar,4.19,2.7,53.7,5485.0,4.0
145,2026-06-03,Centro,Estándar,6.8,1.71,40.6,7605.0,4.0
146,2026-06-01,Periferia,Estándar,3.32,3.14,27.5,5892.0,4.0
147,2026-06-27,Periferia,Estándar,5.48,4.44,50.6,7319.0,3.0
148,2026-06-05,Residencial,Estándar,2.46,2.69,51.5,5072.0,3.0
149,2026-06-10,Centro,Express,5.4,5.44,38.4,11719.0,2.0
150,2026-06-07,Periferia,Express,6.31,1.13,55.0,10654.0,4.0
151,2026-06-26,Industrial,Express,5.28,7.49,26.8,11959.0,5.0
152,2026-06-09,Periferia,Estándar,4.15,1.87,33.5,5841.0,4.0
153,2026-06-28,Periferia,Estándar,8.99,1.57,62.9,9094.0,3.0
154,2026-06-07,Periferia,Estándar,4.92,2.22,40.8,6153.0,2.0
155,2026-06-09,Centro,Estándar,6.04,2.17,47.7,7451.0,3.0
156,2026-06-08,Periferia,Estándar,7.68,2.02,61.9,8134.0,3.0
157,2026-06-12,Comercial,Estándar,8.2,2.09,60.9,7663.0,3.0
158,2026-06-02,Comercial,Estándar,3.75,1.03,38.8,5375.0,4.0
159,2026-06-01,Periferia,Estándar,9.3,1.96,54.2,9713.0,3.0
160,2026-06-16,Industrial,Express,4.88,3.63,32.2,10633.0,4.0
161,2026-06-23,Centro,Estándar,9.33,3.38,59.7,9247.0,3.0
162,2026-06-23,Periferia,Estándar,6.35,2.37,39.1,7111.0,5.0
163,2026-06-30,Residencial,Express,4.6,7.92,47.3,12109.0,4.0
164,2026-06-24,Periferia,Estándar,4.11,1.71,38.1,5958.0,4.0
165,2026-06-05,Industrial,Estándar,2.55,4.36,19.4,4139.0,5.0
166,2026-06-03,Comercial,Express,4.99,1.19,37.6,9035.0,4.0
167,2026-06-12,Industrial,Estándar,2.11,2.75,288.7,3997.0,1.0
168,2026-06-08,Periferia,Estándar,3.78,0.64,51.1,5445.0,3.0
169,2026-06-22,Centro,Express,4.47,1.6,35.0,9486.0,4.0
170,2026-06-27,Periferia,Estándar,2.47,2.19,16.0,5269.0,5.0
171,2026-06-03,Periferia,Estándar,2.12,2.94,36.3,3913.0,4.0
172,2026-06-01,Industrial,Estándar,4.74,3.78,29.6,6926.0,5.0
173,2026-06-03,Periferia,Express,2.22,2.19,8.9,8311.0,5.0
174,2026-06-05,Comercial,Estándar,1.57,5.07,26.8,5510.0,5.0
175,2026-06-15,Centro,Estándar,6.48,1.24,39.8,7353.0,4.0
176,2026-06-14,Periferia,Estándar,5.64,4.95,45.0,6494.0,3.0
177,2026-06-03,Periferia,Estándar,5.51,15.68,42.4,11651.0,4.0
178,2026-06-01,Centro,Estándar,4.9,2.78,44.4,6640.0,2.0
179,2026-06-05,Industrial,Estándar,6.27,3.32,31.2,8447.0,4.0
180,2026-06-26,Periferia,Express,3.48,1.63,28.7,9064.0,5.0
181,2026-06-23,Centro,Estándar,3.12,2.35,25.9,4606.0,5.0
182,2026-06-14,Centro,Estándar,16.38,2.17,55.8,14235.0,3.0
183,2026-06-07,Periferia,Estándar,6.42,4.9,42.7,9088.0,4.0
184,2026-06-27,Residencial,Estándar,3.3,3.71,51.8,6117.0,2.0
185,2026-06-09,Centro,Estándar,7.73,2.35,40.3,8578.0,4.0
186,2026-06-15,Comercial,Estándar,5.43,10.5,63.4,9841.0,3.0
187,2026-06-15,Periferia,Estándar,4.06,5.78,29.2,6412.0,4.0
188,2026-06-26,Industrial,Estándar,4.36,6.43,13.1,6712.0,5.0
189,2026-06-10,Periferia,Estándar,2.62,7.2,8.3,6130.0,5.0
190,2026-06-28,Residencial,Estándar,4.01,6.27,58.5,7624.0,2.0
191,2026-06-13,Comercial,Estándar,5.45,1.32,47.5,4856.0,4.0
192,2026-06-19,Residencial,Estándar,8.09,8.48,53.3,11517.0,2.0
193,2026-06-07,Comercial,Express,3.12,2.28,35.0,8426.0,4.0
194,2026-06-17,Periferia,Express,6.85,2.86,42.9,10858.0,4.0
195,2026-06-20,Residencial,Estándar,5.77,3.78,47.8,6735.0,3.0
196,2026-06-29,Residencial,Express,11.14,6.47,72.6,16734.0,1.0
197,2026-06-04,Centro,Express,5.0,1.29,37.6,9146.0,2.0
198,2026-06-30,Residencial,Estándar,7.02,7.01,49.5,9590.0,3.0
199,2026-06-05,Industrial,Estándar,7.33,1.65,38.4,7773.0,3.0
200,2026-06-23,Residencial,Estándar,3.35,3.4,44.1,4851.0,3.0
201,2026-06-07,Residencial,Estándar,3.58,0.53,54.5,4420.0,4.0
202,2026-06-13,Residencial,Estándar,2.79,1.72,48.2,3903.0,2.0
203,2026-06-15,Residencial,Express,2.98,7.91,49.6,10057.0,4.0
204,2026-06-11,Centro,Estándar,4.38,7.98,44.3,7635.0,4.0
205,2026-06-29,Centro,Estándar,5.56,0.89,50.8,6233.0,3.0
206,2026-06-04,Centro,Estándar,11.12,1.68,48.7,9951.0,4.0
207,2026-06-13,Centro,Express,4.41,1.66,42.5,8345.0,5.0
208,2026-06-07,Periferia,Estándar,2.0,0.87,10.9,3798.0,5.0
209,2026-06-27,Industrial,Estándar,8.78,4.22,46.0,9218.0,4.0
210,2026-06-19,Periferia,Express,8.81,4.91,54.4,13586.0,3.0
211,2026-06-22,Comercial,Express,3.98,1.09,47.4,8916.0,3.0
212,2026-06-28,Comercial,Express,2.17,3.18,33.1,9036.0,5.0
213,2026-06-02,Industrial,Express,4.77,0.67,20.2,9063.0,5.0
214,2026-06-10,Periferia,Estándar,3.92,2.37,39.3,6184.0,3.0
215,2026-06-13,Periferia,Express,9.25,2.38,70.6,13262.0,3.0
216,2026-06-30,Centro,Estándar,17.14,3.9,70.5,15313.0,1.0
217,2026-06-25,Periferia,Estándar,5.85,1.71,48.0,6727.0,4.0
218,2026-06-21,Industrial,Express,6.3,3.3,34.7,11656.0,3.0
219,2026-06-06,Periferia,Estándar,6.16,2.27,68.5,6741.0,2.0
220,2026-06-28,Comercial,Express,5.75,2.57,30.0,10135.0,4.0
221,2026-06-28,Periferia,Estándar,2.28,2.46,23.8,4563.0,5.0
222,2026-06-12,Centro,Express,3.19,4.9,31.5,9269.0,5.0
223,2026-06-12,Comercial,Estándar,4.6,1.84,48.8,5674.0,3.0
224,2026-06-20,Centro,Estándar,4.48,4.26,39.0,6767.0,5.0
225,2026-06-30,Industrial,Estándar,5.63,0.66,39.6,6169.0,5.0
226,2026-06-30,Comercial,Estándar,3.99,6.11,46.7,7630.0,3.0
227,2026-06-11,Centro,Estándar,2.08,2.6,37.6,4035.0,4.0
228,2026-06-26,Industrial,Express,5.36,3.18,17.4,10610.0,5.0
229,2026-06-23,Industrial,Estándar,11.71,1.93,55.2,10897.0,4.0
230,2026-06-28,Comercial,Estándar,3.7,2.1,38.5,5339.0,3.0
231,2026-06-25,Centro,Estándar,6.24,2.56,43.6,7456.0,3.0
232,2026-06-07,Comercial,Express,12.08,4.25,61.3,15426.0,2.0
233,2026-06-30,Centro,Express,15.98,0.42,50.6,16369.0,4.0
234,2026-06-01,Periferia,Express,3.65,1.89,29.7,9235.0,4.0
235,2026-06-01,Periferia,Express,6.63,2.1,42.1,11299.0,2.0
236,2026-06-25,Centro,Express,3.23,3.41,43.7,9489.0,5.0
237,2026-06-27,Periferia,Estándar,5.66,5.46,38.2,8392.0,4.0
238,2026-06-30,Centro,Estándar,3.03,1.85,48.6,5003.0,2.0
239,2026-06-25,Periferia,Estándar,4.35,0.92,41.1,5074.0,3.0
240,2026-06-20,Centro,Express,13.07,1.68,53.1,16356.0,3.0
241,2026-06-13,Residencial,Express,12.03,1.88,73.3,14936.0,1.0
242,2026-06-09,Centro,Estándar,9.88,1.48,50.8,10165.0,4.0
243,2026-06-03,Residencial,Express,4.92,1.08,39.6,9579.0,3.0
244,2026-06-07,Comercial,Express,8.09,1.7,49.8,11578.0,3.0
245,2026-06-06,Periferia,Estándar,9.52,0.65,57.4,8711.0,3.0
246,2026-06-08,Periferia,Estándar,5.92,0.78,48.8,6841.0,4.0
247,2026-06-27,Periferia,Estándar,2.02,2.71,27.5,4263.0,5.0
248,2026-06-09,Residencial,Express,4.06,0.73,56.8,8348.0,4.0
249,2026-06-30,Industrial,Express,3.02,3.24,20.1,9585.0,5.0
250,2026-06-05,Residencial,Estándar,3.74,2.19,56.1,5768.0,3.0
251,2026-06-01,Periferia,Express,1.94,1.21,11.4,7043.0,5.0
252,2026-06-19,Residencial,Estándar,2.54,2.57,42.9,4903.0,3.0
253,2026-06-10,Periferia,Estándar,1.92,9.31,25.5,7413.0,5.0
254,2026-06-12,Comercial,Express,6.7,7.35,40.8,13357.0,3.0
255,2026-06-24,Centro,Express,18.28,2.04,60.5,19626.0,2.0
256,2026-06-15,Industrial,Estándar,2.18,1.35,24.5,4782.0,4.0
257,2026-06-27,Industrial,Express,5.94,2.39,27.9,10680.0,5.0
258,2026-06-22,Industrial,Estándar,3.4,2.87,28.6,5058.0,5.0
259,2026-06-24,Periferia,Estándar,6.64,6.2,42.5,8712.0,4.0
260,2026-06-09,Industrial,Estándar,5.3,1.9,39.6,6297.0,5.0
261,2026-06-20,Centro,Estándar,4.14,3.56,40.9,7158.0,4.0
262,2026-06-17,Industrial,Estándar,5.07,8.53,38.2,8803.0,3.0
263,2026-06-30,Periferia,Express,3.14,1.59,15.5,8573.0,5.0
264,2026-06-17,Periferia,Estándar,6.71,1.96,61.2,8547.0,3.0
265,2026-06-26,Comercial,Estándar,12.39,3.55,77.9,12253.0,2.0
266,2026-06-20,Centro,Express,11.81,1.09,38.3,13760.0,4.0
267,2026-06-12,Centro,Estándar,5.01,2.25,41.2,6049.0,3.0
268,2026-06-30,Periferia,Express,7.9,1.28,48.7,11797.0,4.0
269,2026-06-07,Residencial,Express,3.9,3.22,45.2,10194.0,4.0
270,2026-06-02,Industrial,Express,5.76,1.53,21.2,9397.0,5.0
271,2026-06-03,Comercial,Estándar,4.91,2.04,32.8,5772.0,5.0
272,2026-06-17,Periferia,Estándar,5.2,1.04,44.9,7403.0,3.0
273,2026-06-05,Comercial,Estándar,6.12,1.92,58.7,6410.0,2.0
274,2026-06-17,Periferia,Estándar,6.57,2.8,57.4,8505.0,2.0
275,2026-06-24,Comercial,Express,7.18,3.88,42.6,12614.0,3.0
276,2026-06-17,Periferia,Estándar,3.81,5.46,26.0,6592.0,5.0
277,2026-06-27,Periferia,Estándar,6.07,1.21,42.2,6344.0,3.0
278,2026-06-17,Centro,Estándar,4.45,2.28,45.5,5788.0,2.0
279,2026-06-02,Residencial,Estándar,5.43,4.43,48.7,6702.0,4.0
280,2026-06-02,Industrial,Estándar,3.75,1.77,22.0,5869.0,5.0
281,2026-06-28,Comercial,Estándar,4.46,2.13,40.2,6089.0,3.0
282,2026-06-22,Centro,Estándar,1.38,3.97,36.9,3647.0,5.0
283,2026-06-23,Centro,Express,10.59,1.14,50.5,12883.0,3.0
284,2026-06-05,Periferia,Express,4.12,5.45,29.8,10398.0,5.0
285,2026-06-01,Periferia,Estándar,10.74,1.61,61.5,9662.0,4.0
286,2026-06-01,Comercial,Estándar,5.13,1.6,36.0,7011.0,5.0
287,2026-06-19,Periferia,Estándar,5.34,5.35,48.9,8229.0,5.0
288,2026-06-30,Centro,Estándar,13.16,2.13,48.5,12573.0,3.0
289,2026-06-02,Periferia,Estándar,9.41,5.75,78.4,11696.0,1.0
290,2026-06-21,Industrial,Estándar,1.76,4.34,22.2,4414.0,5.0
291,2026-06-12,Periferia,Estándar,11.68,2.46,82.7,11806.0,2.0
292,2026-06-26,Residencial,Estándar,2.63,2.73,35.1,4890.0,5.0
293,2026-06-06,Centro,Express,6.07,8.27,36.7,14213.0,5.0
294,2026-06-23,Comercial,Estándar,8.76,1.24,50.5,9113.0,3.0
295,2026-06-04,Industrial,Estándar,5.6,6.48,39.1,7911.0,3.0
296,2026-06-23,Centro,Estándar,2.85,2.23,48.6,3831.0,4.0
297,2026-06-11,Comercial,Estándar,7.46,9.08,60.8,10431.0,3.0
298,2026-06-24,Periferia,Estándar,4.77,2.05,40.3,6621.0,4.0
299,2026-06-27,Industrial,Express,11.54,3.55,52.3,15716.0,3.0
300,2026-06-17,Industrial,Estándar,6.75,1.22,39.8,6683.0,5.0
301,2026-06-06,Centro,Express,6.75,9.3,36.8,13878.0,5.0
302,2026-06-24,Comercial,Estándar,6.89,4.43,66.2,8478.0,3.0
303,2026-06-05,Industrial,Express,8.33,5.66,46.4,13496.0,2.0
304,2026-06-20,Comercial,Estándar,4.78,6.11,51.7,7291.0,2.0
305,2026-06-02,Periferia,Estándar,8.59,2.0,72.5,9368.0,2.0
306,2026-06-06,Centro,Express,17.98,0.98,54.5,18002.0,2.0
307,2026-06-22,Periferia,Express,11.11,3.24,73.8,15014.0,2.0
308,2026-06-11,Residencial,Express,6.71,2.92,58.5,11434.0,2.0
309,2026-06-16,Residencial,Estándar,5.06,1.44,40.7,5962.0,5.0
310,2026-06-16,Periferia,Estándar,4.36,0.66,44.1,5308.0,4.0
311,2026-06-01,Periferia,Estándar,4.05,4.44,34.5,6124.0,4.0
312,2026-06-09,Comercial,Express,8.49,1.23,60.2,11357.0,2.0
313,2026-06-28,Comercial,Estándar,4.35,3.01,39.4,6797.0,5.0
314,2026-06-27,Comercial,Estándar,4.47,12.38,35.5,9674.0,4.0
315,2026-06-06,Centro,Express,1.77,1.91,38.1,8299.0,5.0
316,2026-06-16,Centro,Estándar,8.7,0.78,52.7,7442.0,3.0
317,2026-06-29,Periferia,Express,7.19,3.92,60.4,12035.0,2.0
318,2026-06-03,Centro,Estándar,6.67,1.11,40.8,6871.0,5.0
319,2026-06-20,Comercial,Estándar,6.36,1.78,48.9,7082.0,2.0
320,2026-06-28,Periferia,Estándar,9.44,3.33,65.3,9847.0,4.0
321,2026-06-27,Comercial,Estándar,2.63,1.3,41.3,4053.0,3.0
322,2026-06-04,Centro,Estándar,2.49,2.26,36.1,4566.0,4.0
323,2026-06-19,Industrial,Estándar,4.72,0.95,31.4,5904.0,5.0
324,2026-06-26,Industrial,Estándar,4.98,2.84,39.3,6030.0,5.0
325,2026-06-03,Periferia,Express,7.29,3.06,57.2,11462.0,2.0
326,2026-06-19,Periferia,Estándar,4.21,1.23,26.3,5874.0,5.0
327,2026-06-20,Industrial,Estándar,2.89,0.79,27.2,4802.0,3.0
328,2026-06-07,Residencial,Estándar,6.27,4.06,53.1,9037.0,4.0
329,2026-06-20,Centro,Estándar,6.61,3.11,48.5,7572.0,3.0
330,2026-06-09,Comercial,Express,7.54,3.83,43.0,12636.0,4.0
331,2026-06-01,Residencial,Estándar,4.23,4.9,48.8,7007.0,3.0
332,2026-06-08,Comercial,Estándar,5.72,3.0,49.6,7306.0,3.0
333,2026-06-07,Comercial,Express,1.78,3.01,42.6,8382.0,2.0
334,2026-06-18,Centro,Express,5.18,2.34,50.8,10381.0,4.0
335,2026-06-08,Periferia,Express,13.36,3.75,83.2,16028.0,1.0
336,2026-06-01,Industrial,Estándar,6.88,3.07,283.2,8410.0,1.0
337,2026-06-11,Industrial,Express,3.08,1.08,20.0,8660.0,5.0
338,2026-06-28,Periferia,Estándar,2.91,4.0,15.1,5691.0,5.0
339,2026-06-25,Residencial,Express,7.33,3.32,56.1,12421.0,2.0
340,2026-06-25,Periferia,Estándar,9.25,2.04,63.6,9433.0,1.0
341,2026-06-18,Residencial,Estándar,2.44,2.65,44.7,5835.0,5.0
342,2026-06-23,Industrial,Express,2.23,2.59,21.0,7937.0,5.0
343,2026-06-30,Comercial,Estándar,3.11,1.18,39.2,4274.0,5.0
344,2026-06-10,Comercial,Estándar,9.95,1.07,63.9,9177.0,1.0
345,2026-06-03,Industrial,Estándar,8.84,1.43,38.2,9862.0,4.0
346,2026-06-07,Centro,Express,3.27,1.64,42.4,8724.0,4.0
347,2026-06-28,Centro,Estándar,10.48,4.1,53.8,10173.0,3.0
348,2026-06-16,Industrial,Estándar,4.0,1.29,22.5,5536.0,4.0
349,2026-06-26,Residencial,Estándar,10.65,4.8,86.2,11963.0,1.0
350,2026-06-16,Industrial,Express,8.28,10.08,25.3,15183.0,5.0
351,2026-06-25,Centro,Estándar,14.31,5.1,55.4,14754.0,3.0
352,2026-06-20,Periferia,Estándar,2.47,4.92,12.1,5942.0,5.0
353,2026-06-28,Industrial,Estándar,6.9,9.71,47.4,9449.0,5.0
354,2026-06-17,Industrial,Estándar,2.67,7.6,36.6,6833.0,4.0
